heart
32;60
0;0;-5
-5;5;-5
-10;10;-5
-17,5;7,5;-5
-20;0;-5
-17,5;-5;-5
-12,5;-10;-5
-5;-15;-5
0;-21;-5
5;-15;-5
10;-10;-5
17,5;-5;-5
20;0;-5
17,5;7,5;-5
12,5;10;-5
5;5;-5
0;0;5
-5;5;5
-10;10;5
-17,5;7,5;5
-20;0;5
-17,5;-5;5
-12,5;-10;5
-5;-15;5
0;-21;5
5;-15;5
10;-10;5
17,5;-5;5
20;0;5
17,5;7,5;5
12,5;10;5
5;5;5
0;16;17
0;17;1
1;17;18
1;18;2
2;18;19
2;19;3
3;19;20
3;20;4
4;20;21
4;21;5
5;21;22
5;22;6
6;22;23
6;23;7
7;23;24
7;24;8
8;24;25
8;25;9
9;25;26
9;26;10
10;26;27
10;27;11
11;27;28
11;28;12
12;28;29
12;29;13
13;29;30
13;30;14
14;30;31
14;31;15
15;31;16
15;16;0
0;1;5
1;2;5
2;3;5
3;4;5
0;5;6
0;6;7
0;7;8
0;8;9
0;9;10
0;10;11
11;15;0
11;14;15
11;13;14
11;12;13
16;21;17
17;21;18
18;21;19
19;21;20
16;22;21
16;23;22
16;24;23
16;25;24
16;26;25
16;27;26
27;16;31
27;31;30
27;30;29
27;29;28
