key
32;64
-5;-4;1
1;2;1
0;4;1
2;5;1
4;4;1
5;2;1
4;0;1
2;1;1
-1;-2;1
0;-3;1
-2;-5;1
-3;-4;1
-4;-5;1
2;2;1
4;2;1
2;4;1
-5;-4;-1
1;2;-1
0;4;-1
2;5;-1
4;4;-1
5;2;-1
4;0;-1
2;1;-1
-1;-2;-1
0;-3;-1
-2;-5;-1
-3;-4;-1
-4;-5;-1
2;2;-1
4;2;-1
2;4;-1
0;11;12
0;8;11
0;1;8
8;10;11
8;9;10
8;1;7
1;13;7
13;6;7
13;14;6
14;5;6
14;4;5
14;15;4
15;3;4
15;1;3
1;15;13
1;2;3
28;27;16
27;24;16
24;17;16
27;26;24
26;25;24
23;17;24
23;29;17
23;22;29
22;30;29
22;21;30
21;20;30
20;31;30
20;19;31
19;17;31
29;31;17
19;18;17
17;0;16
1;0;17
18;1;17
2;1;18
19;2;18
3;2;19
20;3;19
4;3;20
21;4;20
5;4;21
22;5;21
6;5;22
23;6;22
7;6;23
24;7;23
8;7;24
25;8;24
9;8;25
26;9;25
10;9;26
27;10;26
11;10;27
28;11;27
12;11;28
16;12;28
0;12;16
13;29;30
13;30;14
14;30;31
14;31;15
15;31;29
15;29;13
